FoodId;DanName;ProdName;EngName;SysName;MainGrp;SubGrp;Waste;NCF;FACF;PEF;FEF;CEF;Density;Remarks;PublStatus;LanguaL;GRIN;FISHBASE;BASIS;USDA;FIFood;UKFood;FRFood;DEFood;SEFood;NOFood;NLFood;ISFood;SPFood;ITFood;DateUpdated;UpdatedBy;Recipe;WaterYield;FatYield
0050;Fersken, konserves;;Peach, canned;Prunus persica (L.) Batsch;06;90;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0051;Fersken, tørret;;Peach, dried;Prunus persica (L.) Batsch;06;20;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0052;Figen, tørret;;Fig, dried;Ficus carica L.;06;40;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0053;Fårekød, bov, rå;;Mutton, shoulder, raw;Ovis aries;07;40;31;6.25;0.910;;;;;;1;;;;;;;;;;;;;;;;;;;;
0054;Fårekød, kølle, rå;;Mutton, round, raw;Ovis aries;07;40;29;6.25;0.910;;;;;;1;;;;;;;;;;;;;;;;;;;;
0055;Gedde, rå;;Pike, raw;Esox lucius;08;10;45;6.25;0.936;;;;;;1;;;;;;;;;;;;;;;;;;;;
0058;Gelatine;;Gelatin;;14;50;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0059;Grapefrugt, rå;;Grapefruit, raw;Citrus x paradisi Macfad.;06;40;50;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0060;Grapefrugtjuice, konserves, usødet;;Grapefruitjuice, canned, unswtnd.;Citrus x paradisi Macfad.;06;90;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0061;Græskar, rå;;Pumpkin, raw;Cucurbita pepo L.;05;30;30;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0062;Græskar, konserves;;Pumpkin, canned;Cucurbita pepo L.;05;90;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0063;Grønkål, rå;;Kale, raw;Brassica oleracea (L.) convar. acephala;05;20;40;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0064;Grønkål, dybfrost;;Kale, frozen;Brassica oleracea (L.) convar. acephala;05;20;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0065;Gulerod, uspec., rå;;Carrot, raw;Daucus carota L.;05;10;15;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0066;Gås, kød og skind, rå;;Goose, flesh and skin, raw;Anser anser;09;20;19;6.25;0.931;;;;;;1;;;;;;;;;;;;;;;;;;;;
0067;Gås, kød, rå;;Goose, flesh only, raw;Anser anser;09;20;53;6.25;0.777;;;;;;1;;;;;;;;;;;;;;;;;;;;
0068;Bagegær, presset, rå;;Yeast, baker`s, compressed;Saccharomyces cerevisiae;14;30;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0069;Hare, rå;;Hare, raw;;07;60;21;6.25;0.920;;;;;;1;;;;;;;;;;;;;;;;;;;;
0070;Havkat, rå;;Wolffish (catfish), raw;Anarhichas lupus lupus;08;20;48;6.25;0.880;;;;;;1;;;;;;;;;;;;;;;;;;;;
0071;Havregryn, beriget;;Oats, rolled, enriched;Avena sativa L.;04;20;0;5.83;0.940;;;;;;1;;;;;;;;;;;;;;;;;;;;
0072;Hellefisk, rå;;Halibut, greenland, raw;Reinhardtius hippoglossoides;08;20;20;6.25;0.924;;;;;;1;;;;;;;;;;;;;;;;;;;;
0073;Hellefisk, røget;;Halibut, greenland, smoked;Reinhardtius hippoglossoides;08;90;5;6.25;0.924;;;;;;1;;;;;;;;;;;;;;;;;;;;
0074;Helleflynder, rå;;Halibut, atlantic, raw;Hippoglossus hippoglossus;08;20;20;6.25;0.700;;;;;;1;;;;;;;;;;;;;;;;;;;;
0075;Hestekød, råt;;Horse, meat, raw;;07;50;25;6.25;0.940;;;;;;1;;;;;;;;;;;;;;;;;;;;
0076;Hindbær, rå;;Raspberry, raw;Rubus idaeus L.;06;30;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0077;Hjerte, kalv, råt;;Heart, veal, raw;;07;80;28;6.25;0.790;;;;;;1;;;;;;;;;;;;;;;;;;;;
0078;Hjerte, høne (kylling), råt;;Heart, chicken, raw;;09;80;0;6.25;0.830;;;;;;1;;;;;;;;;;;;;;;;;;;;
0079;Hjerte, okse, råt;;Heart, beef, raw;Bos taurus;07;80;28;6.25;0.790;;;;;;1;;;;;;;;;;;;;;;;;;;;
0080;Hjerte, svin, råt;;Heart, pork, raw;;07;80;15;6.25;0.780;;;;;;1;;;;;;;;;;;;;;;;;;;;
0081;Honning;;Honey;;12;20;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0082;Hornfisk, rå;;Garfish, raw;Belone belone;08;20;42;6.25;0.810;;;;;;1;;;;;;;;;;;;;;;;;;;;
0083;Hummer, rå;;Lobster, raw;Homarus vulgaris;08;30;72;6.25;0.770;;;;;;1;;;;;;;;;;;;;;;;;;;;
0084;Hummer, konserves;;Lobster, canned;Homarus vulgaris;08;90;0;6.25;0.730;;;;;;1;;;;;;;;;;;;;;;;;;;;
0085;Hvedekim, rå;;Wheat germ, raw;Triticum aestivum L.;04;10;0;5.83;0.700;;;;;;1;;;;;;;;;;;;;;;;;;;;
0086;Hvedeklid;;Wheat bran;Triticum aestivum L.;04;10;0;6.31;0.820;;;;;;1;;;;;;;;;;;;;;;;;;;;
0088;Hvidkål, rå;;Cabbage, white, raw;Brassica oleracea L. convar. capitata (L.) Alef. var alba DC;05;20;20;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0089;Hvidløg, rå;;Garlic, raw;Allium sativum L.;05;70;13;6.25;0.700;;;;;;1;;;;;;;;;;;;;;;;;;;;
0090;Hvidløg, tørret, pulver;;Garlic, dried, powder;Allium sativum L.;05;70;0;6.25;0.700;;;;;;1;;;;;;;;;;;;;;;;;;;;
0091;Hvidvin, medium;;Wine, white, medium;;13;40;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0092;Hvidvin, sød;;Wine, white, sweet;;13;40;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0093;Hvidvin, tør;;Wine, white, dry;;13;40;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0094;Hyben, rå;;Rose hip, raw;Rosa rugosa Thunb.;06;30;35;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0095;Hyben pulver, tørret;;Rose hip, dried, powder;Rosa rugosa Thunb.;06;30;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0096;Hyldebær, rå;;Elderberry, raw;Sambucus nigra L.;06;30;6;6.25;0.700;;;;;;1;;;;;;;;;;;;;;;;;;;;
0097;Høne, kød, rå;;Chicken, hen, flesh only;Gallus domesticus;09;10;49;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0098;Høne, kød og skind, rå;;Chicken, hen, flesh and skin, raw;Gallus domesticus;09;10;28;6.25;0.919;;;;;;1;;;;;;;;;;;;;;;;;;;;
0099;Ising, rå;;Dab, raw;Limanda limanda;08;20;35;6.25;0.790;;;;;;1;;;;;;;;;;;;;;;;;;;;
0100;Jordbær, rå;;Strawberry, raw;Fragaria x ananassa Duchesne;06;30;3;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0101;Jordskok, rå;;Jerusalem artichoke, raw;Helianthus tuberosus L.;05;10;31;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0102;Julesalat, rå;;Chicory, raw;Cichorium intybus L. var. foliosum Hegi;05;20;21;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0103;Kaffebønne, ristet, formalet;;Coffee bean, roasted, ground;Coffea var.;13;10;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0104;Kaffe, instant, pulver;;Coffee, instant, powder;;13;10;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0105;Kaffe, drikkeklar;;Coffee, beverage;;13;10;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0106;Kanin, kød, rå;;Rabbit, flesh only, raw;Oryetalagus euniculus;07;60;24;6.25;0.930;;;;;;1;;;;;;;;;;;;;;;;;;;;
0107;Karse, frisk;;Cress, garden, raw;Lepidium sativum L.;05;70;29;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0108;Kantarel, rå;;Cantharelle, raw;Cantharellus cibarius;05;60;11;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0109;Kalkun, kød og skind, rå;;Turkey, flesh and skin, raw;Meleagris gallopavo;09;10;30;6.25;0.945;;;;;;1;;;;;;;;;;;;;;;;;;;;
0110;Kalkun, kød, rå;;Turkey, flesh only, raw;Meleagris gallopavo;09;10;43;6.25;0.920;;;;;;1;;;;;;;;;;;;;;;;;;;;
0111;Kalvekød, helt magert;;Veal, lean meat, raw;Bos taurus;07;20;0;6.25;0.920;;;;;;1;;;;;;;;;;;;;;;;;;;;
0112;Kalvekød, magert, råt;;Veal, thin fat, raw;Bos taurus;07;20;1;6.25;0.920;;;;;;1;;;;;;;;;;;;;;;;;;;;
0113;Kalvekød, middelfedt, råt;;Veal, medium fat, raw;Bos taurus;07;20;1;6.25;0.930;;;;;;1;;;;;;;;;;;;;;;;;;;;
0114;Kalvekød, fedt, råt;;Veal, fat, raw;Bos taurus;07;20;0;6.25;0.930;;;;;;1;;;;;;;;;;;;;;;;;;;;
0115;Kartoffel, uspec., rå;;Potato, raw;Solanum tuberosum L.;05;10;15;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0116;Kartoffelmel;;Potato flour;;05;90;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0117;Kastanje, ægte, rå;;Chestnut, raw;Castanea sativa Miller;06;20;17;6.25;0.845;;;;;;1;;;;;;;;;;;;;;;;;;;;
0118;Kaviar, uægte (stenbiderrogn);;Caviar, danish (roe, lump-sucker);Cyclopterus lumpus;08;90;0;6.25;0.930;;;;;;1;;;;;;;;;;;;;;;;;;;;
0120;Kinakål, pe-tsai, rå;;Cabbage, chinese or celery, raw;Brassica pekinensis (Lour.) Rupr.;05;20;7;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0121;Kirsebær, rå;;Cherry, raw;Prunus avium (L.) L.;06;20;13;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0122;Kippers i olie, konserves;;Kippers, in oil, canned;Clupea harengus;08;90;0;6.25;0.925;;;;;;1;;;;;;;;;;;;;;;;;;;;
0123;Klipfisk;;Stockfish, cod, split, salted and dried;Gadus morhua;08;90;25;6.25;0.790;;;;;;1;;;;;;;;;;;;;;;;;;;;
0124;Knækbrød, rug-, fint;;Crispbread, knackebrot, rye, fine;;04;40;0;5.70;0.940;;;;;;1;;;;;;;;;;;;;;;;;;;;
0126;Kokosmel;;Coconut meat, desiccated;Cocos nucifera L.;06;50;0;5.30;0.950;;;;;;1;;;;;;;;;;;;;;;;;;;;
0127;Kongeål (pighaj), rå;;Dogfish, piked, raw;Squalus acanthias;08;20;0;6.25;0.900;;;;;;1;;;;;;;;;;;;;;;;;;;;
0128;Krabbe, kogt;;Crab, boiled;Cancer pagurus;08;30;84;6.25;0.680;;;;;;1;;;;;;;;;;;;;;;;;;;;
0129;Krabbekløer, konserves;;Crab claws, meat, canned;Cancer pagurus;08;90;0;6.25;0.700;;;;;;1;;;;;;;;;;;;;;;;;;;;
0130;Kråse, kylling, rå;;Gizzard, chicken, raw;;09;80;0;6.25;0.830;;;;;;1;;;;;;;;;;;;;;;;;;;;
0131;Kylling, kød, rå;;Chicken, flesh only, raw;Gallus domesticus;09;10;52;6.25;0.792;;;;;;1;;;;;;;;;;;;;;;;;;;;
0132;Kylling, kød og skind, rå;;Chicken, flesh and skin, raw;Gallus domesticus;09;10;32;6.25;0.915;;;;;;1;;;;;;;;;;;;;;;;;;;;
0133;Kørvel, rå;;Chervil, raw;Antriscus cerefolium (L.) Hoffm.;05;20;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0134;Kålrabi (kålroe), rå;;Swede, raw;Brassica napus L. var. napobrassica (L.) Reichb.;05;20;15;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0135;Laks, rå;;Salmon, raw;Salmo salar;08;20;35;6.25;0.920;;;;;;1;;;;;;;;;;;;;;;;;;;;
0136;Laks, konserves;;Salmon, canned;Salmo salar;08;90;0;6.25;0.900;;;;;;1;;;;;;;;;;;;;;;;;;;;
0137;Laks, røget, udskåret;;Salmon, smoked;Salmo salar;08;90;0;6.25;0.920;;;;;;1;;;;;;;;;;;;;;;;;;;;
0138;Lammekød, uspec., råt;;Lamb, meat, average values, raw;Ovis aries;07;40;1;6.25;0.910;;;;;;1;;;;;;;;;;;;;;;;;;;;
0139;Lammekød, bov, rå;;Lamb, shoulder, raw;Ovis aries;07;40;29;6.25;0.910;;;;;;1;;;;;;;;;;;;;;;;;;;;
0140;Lammekød, bryst, råt;;Lamb, breast, raw;Ovis aries;07;40;23;6.25;0.910;;;;;;1;;;;;;;;;;;;;;;;;;;;
0141;Lammekød, kølle, uspec., rå;;Lamb, leg, average values, raw;Ovis aries;07;40;29;6.25;0.910;;;;;;1;;;;;;;;;;;;;;;;;;;;
0142;Lever, høne, rå;;Liver, chicken (hen), raw;;09;80;0;6.25;0.730;;;;;;1;;;;;;;;;;;;;;;;;;;;
0143;Lever, kylling, rå;;Liver, broiler or fryer, raw;;09;80;0;6.25;0.750;;;;;;1;;;;;;;;;;;;;;;;;;;;
0144;Lever, kalv, rå;;Liver, calf, raw;;07;80;7;6.25;0.730;;;;;;1;;;;;;;;;;;;;;;;;;;;
0145;Lever, okse, rå;;Liver, ox, raw;Bos taurus;07;80;8;6.25;0.730;;;;;;1;;;;;;;;;;;;;;;;;;;;
0146;Lever, svin, rå;;Liver, pig, raw;;07;80;5;6.25;0.730;;;;;;1;;;;;;;;;;;;;;;;;;;;
0147;Linser, tørrede, uspec.;;Lentils, dried;Lens culinaris (L.) Medikus;05;40;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0148;Løg, rå;;Onion, raw;Allium cepa L.;05;10;10;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0149;Majroe, rå;;Turnip, raw;Brassica rapa (L.) var. rapa (L.) Thell.;05;10;16;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0150;Majskolbe, rå;;Sweetcorn, on-the-cob, raw;Zea mays L.;04;10;64;6.25;0.940;;;;;;1;;;;;;;;;;;;;;;;;;;;
0151;Majs, kerner, konserves;;Sweetcorn, kernels, canned;Zea mays L.;04;90;0;6.25;0.920;;;;;;1;;;;;;;;;;;;;;;;;;;;
0152;Majs, kerner, dybfrost;;Sweetcorn, kernels, frozen;Zea mays L.;04;90;0;6.25;0.920;;;;;;1;;;;;;;;;;;;;;;;;;;;
0153;Majsolie;;Corn oil;;11;20;0;6.25;0.950;;;;;;1;;;;;;;;;;;;;;;;;;;;
0154;Sukker, stødt melis (saccharose);;Sugar, sucrose, white;;12;10;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0155;Sojamel;;Soya flour, full fat;;05;90;0;5.71;0.950;;;;;;1;;;;;;;;;;;;;;;;;;;;
0156;Sødmælk, konventionel (ikke-økologisk);;Milk, whole, konventional (not organic), 3.5 % fat;;01;10;0;6.38;0.945;;;;;;1;;;;;;;;;;;;;;;;;;;;
0157;A38, acidophilus tykmælk;;Milk, acidophilus cultured;;01;20;0;6.38;0.945;;;;;;1;;;;;;;;;;;;;;;;;;;;
0159;Cacaomælk;;Milk, with chocolate, partly skimmed, 1.5 % fat;;01;10;0;6.38;0.945;;;;;;1;;;;;;;;;;;;;;;;;;;;
0160;Creme fraiche 18 %;;Cream, cultured, 18 % fat;;01;20;0;6.38;0.945;;;;;;1;;;;;;;;;;;;;;;;;;;;
0161;Creme fraiche 38 %;;Cream, cultured, 38 % fat;;01;20;0;6.38;0.945;;;;;;1;;;;;;;;;;;;;;;;;;;;
0163;Fløde 9 %;;Cream, 9 % fat;;01;10;0;6.38;0.945;;;;;;1;;;;;;;;;;;;;;;;;;;;
0164;Fløde 18 %;;Cream, 18 % fat;;01;10;0;6.38;0.945;;;;;;1;;;;;;;;;;;;;;;;;;;;
0165;Fløde 13 %;;Cream, 13 % fat;;01;10;0;6.38;0.945;;;;;;1;;;;;;;;;;;;;;;;;;;;
0166;Fløde 38 %, piskefløde;;Cream, whipping, 38 % fat;;01;10;0;6.38;0.945;;;;;;1;;;;;;;;;;;;;;;;;;;;
0168;Kærnemælk;;Milk, buttermilk, 0.3 % fat;;01;20;0;6.38;0.945;;;;;;1;;;;;;;;;;;;;;;;;;;;
0169;Kærnemælk med citronsaft;;Milk, buttermilk with lemon;;01;10;0;6.38;0.945;;;;;;1;;;;;;;;;;;;;;;;;;;;
0170;Letmælk, konventionel (ikke-økologisk);;Milk, partly skimmed, konventional (not organic), 1.5 % fat;;01;10;0;6.38;0.945;;;;;;1;;;;;;;;;;;;;;;;;;;;
0171;Champignon, konserves;;Mushroom, canned;Agaricus bisporus forma albus;05;90;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0172;Majsmel;;Corn flour;Zea mays L.;04;30;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0173;Majsstivelse;;Corn starch;Zea mays L.;04;30;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0174;Makaroni, spaghetti, rå;;Macaroni, spaghetti, raw;;04;70;0;5.70;0.690;;;;;;1;;;;;;;;;;;;;;;;;;;;
0175;Makrel, rå;;Mackerel, raw;Scomber scombrus;08;20;28;6.25;0.925;;;;;;1;;;;;;;;;;;;;;;;;;;;
0176;Makrel, filet, naturel, konserves;;Mackerel, filet, in natural juices, canned;Scomber scombrus;08;90;0;6.25;0.925;;;;;;1;;;;;;;;;;;;;;;;;;;;
0177;Makrel, røget;;Mackerel, smoked;Scomber scombrus;08;90;20;6.25;0.925;;;;;;1;;;;;;;;;;;;;;;;;;;;
0178;Makrel i tomat, konserves;;Mackerel, in tomato sauce, canned;Scomber scombrus;08;90;0;6.25;0.925;;;;;;1;;;;;;;;;;;;;;;;;;;;
0179;Mandarin, rå;;Tangerine, raw;Citrus reticulata Blanco (Clementin);06;40;26;6.25;0.489;;;;;;1;;;;;;;;;;;;;;;;;;;;
0180;Mandarin, konserves;;Tangerine, canned;Citrus reticulata Blanco (Clementin);06;90;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0181;Mandel, rå;;Almond, raw;Amygdalus Communis L.;06;50;5;5.18;0.960;;;;;;1;;;;;;;;;;;;;;;;;;;;
0182;Hvedegryn, mannagryn;;Semolina;Triticum aestivum L.;04;20;0;5.70;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0184;Mayonnaise;;Mayonnaise;;11;50;0;6.25;0.950;;;;;;1;;;;;;;;;;;;;;;;;;;;
0185;Netmelon, rå;;Muskmelon, raw;Cucumis melo L. var. reticulatus Naud.;06;40;50;6.25;0.700;;;;;;1;;;;;;;;;;;;;;;;;;;;
0186;Vandmelon, rå;;Watermelon, raw;Citrullus lanatus (Thunb.) Matsum. et Nakai;06;40;54;6.25;0.700;;;;;;1;;;;;;;;;;;;;;;;;;;;
0187;Musling, rå;;Mussel, raw;Mytilus edulis;08;40;49;6.25;0.630;;;;;;1;;;;;;;;;;;;;;;;;;;;
0188;Musling, konserves;;Mussels, in water, canned;Mytilus edulis;08;90;0;6.25;0.630;;;;;;1;;;;;;;;;;;;;;;;;;;;
